Valeur fonciere,Nombre de lots,Type de voie,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Code commune,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
212000.0,2.0,15.0,2.0,29.0,2.0,0.0,1.0,29.72,0,0,0,0.0
635250.0,2.0,15.0,2.0,120.0,6.0,0.0,3.0,0,120.15,0,0,0.0
387720.0,2.0,15.0,2.0,71.0,3.0,0.0,0.0,0,0,0,0,0.0
160000.0,1.0,3.0,2.0,67.0,4.0,0.0,4.0,0,0,0,0,0.0
112000.0,2.0,2.0,2.0,59.0,3.0,0.0,4.0,0,53.52,0,0,0.0
419300.0,2.0,15.0,2.0,93.0,4.0,0.0,3.0,0,94.07,0,0,0.0
165000.0,2.0,15.0,2.0,64.0,4.0,0.0,4.0,0,0,0,0,0.0
438000.0,1.0,15.0,2.0,63.0,1.0,0.0,0.0,91.15,0,0,0,0.0
225000.0,1.0,15.0,2.0,27.0,1.0,0.0,8.0,76.23,0,0,0,0.0
225000.0,2.0,15.0,2.0,41.0,2.0,0.0,8.0,76.23,0,0,0,0.0
336960.4,1.0,12.0,2.0,60.0,3.0,0.0,4.0,0,0,0,0,0.0
266100.0,1.0,15.0,2.0,69.0,3.0,0.0,3.0,0,0,0,0,0.0
259600.0,1.0,5.0,2.0,72.0,4.0,0.0,3.0,76.08,0,0,0,0.0
165000.0,2.0,10.0,2.0,43.0,1.0,0.0,3.0,35.89,0,0,0,0.0
335000.0,2.0,8.0,2.0,83.0,5.0,0.0,8.0,79.42,0,0,0,0.0
210000.0,2.0,15.0,2.0,40.0,1.0,0.0,0.0,45.75,0,0,0,0.0
274900.0,2.0,15.0,2.0,66.0,3.0,0.0,1.0,68.12,0,0,0,0.0
140000.0,1.0,15.0,2.0,55.0,2.0,0.0,8.0,55.3,0,0,0,0.0
122000.0,2.0,15.0,2.0,54.0,3.0,0.0,8.0,0,56.14,0,0,0.0
434000.0,4.0,15.0,2.0,63.0,2.0,0.0,3.0,0,0,95.32,95.32,0.0
540000.0,1.0,15.0,2.0,54.0,2.0,0.0,1.0,0,0,0,0,0.0
163000.0,2.0,2.0,2.0,77.0,5.0,0.0,8.0,79.28,0,0,0,0.0
242900.0,2.0,15.0,2.0,67.0,4.0,0.0,3.0,0,0,0,0,0.0
380800.0,2.0,12.0,2.0,96.0,3.0,0.0,8.0,93.34,0,0,0,0.0
139900.0,2.0,15.0,2.0,62.0,3.0,0.0,8.0,0,0,0,0,0.0
328500.0,1.0,15.0,2.0,64.0,3.0,0.0,4.0,66.26,0,0,0,0.0
450000.0,1.0,15.0,2.0,98.0,4.0,0.0,3.0,92.27,0,0,0,0.0
150390.0,1.0,15.0,2.0,33.0,1.0,0.0,3.0,32.8,0,0,0,0.0
218700.0,1.0,10.0,2.0,116.0,4.0,0.0,1.0,32.43,0,0,0,0.0
180000.0,2.0,15.0,2.0,20.0,1.0,0.0,1.0,25.32,0,0,0,0.0
75500.0,1.0,1.0,2.0,18.0,1.0,0.0,8.0,17.97,0,0,0,0.0
75500.0,1.0,1.0,2.0,18.0,1.0,0.0,8.0,18.24,0,0,0,0.0
216500.0,2.0,15.0,2.0,73.0,3.0,0.0,8.0,0,0,0,0,0.0
103630.0,2.0,15.0,2.0,16.0,1.0,0.0,4.0,0,15.15,0,0,0.0
835400.0,2.0,15.0,2.0,160.0,7.0,0.0,1.0,0,160.51,0,0,0.0
245000.0,1.0,15.0,2.0,68.0,3.0,0.0,8.0,69.11,0,0,0,0.0
180000.0,1.0,15.0,2.0,38.0,2.0,0.0,8.0,37.72,0,0,0,0.0
300000.0,1.0,15.0,2.0,44.0,2.0,0.0,8.0,66.74,0,0,0,0.0
204405.0,1.0,15.0,2.0,53.0,2.0,0.0,4.0,53.01,0,0,0,0.0
617575.0,2.0,15.0,2.0,120.0,5.0,0.0,0.0,0,120.61,0,0,0.0
100000.0,1.0,15.0,2.0,33.0,1.0,0.0,8.0,0,0,0,0,0.0
244000.0,2.0,15.0,2.0,48.0,2.0,0.0,3.0,0,0,0,0,0.0
434000.0,1.0,15.0,2.0,77.0,3.0,0.0,1.0,79.36,0,0,0,0.0
202250.0,2.0,15.0,2.0,53.0,3.0,0.0,4.0,54.95,0,0,0,0.0
700000.0,1.0,15.0,2.0,115.0,3.0,0.0,1.0,115.05,0,0,0,0.0
100802.5,2.0,15.0,2.0,84.0,4.0,0.0,4.0,0,0,0,0,0.0
246600.0,2.0,8.0,2.0,38.0,1.0,0.0,0.0,38.28,0,0,0,0.0
515000.0,1.0,15.0,2.0,89.0,3.0,0.0,1.0,0,0,0,0,0.0
150000.0,2.0,2.0,2.0,97.0,3.0,0.0,8.0,82.62,0,0,0,0.0
13000.0,1.0,15.0,2.0,80.0,2.0,0.0,1.0,0,0,0,0,0.0
129675.0,1.0,15.0,2.0,58.0,2.0,0.0,0.0,17.56,0,0,0,0.0
43400.0,1.0,1.0,2.0,18.0,1.0,0.0,8.0,18.19,0,0,0,0.0
88000.0,1.0,15.0,2.0,20.0,1.0,0.0,3.0,20.21,0,0,0,0.0
360000.0,2.0,15.0,2.0,69.0,3.0,0.0,3.0,0,68.61,0,0,0.0
230000.0,2.0,15.0,2.0,64.0,4.0,0.0,3.0,0,0,0,0,0.0
374000.0,1.0,15.0,2.0,70.0,2.0,0.0,3.0,69.45,0,0,0,0.0
200000.0,1.0,3.0,2.0,63.0,3.0,0.0,3.0,0,0,0,0,0.0
200000.0,2.0,3.0,2.0,56.0,3.0,0.0,3.0,0,0,0,0,0.0
