Valeur fonciere,Nombre de lots,Type de voie,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Code commune,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
160000.0,1.0,27.0,2.0,65.0,3.0,0.0,3.0,64.62,0,0,0,0
112000.0,2.0,27.0,2.0,70.0,3.0,0.0,3.0,70.0,0,0,0,0
175000.0,1.0,3.0,2.0,64.0,3.0,0.0,13.0,0,0,0,0,0
474000.0,0.0,3.0,1.0,95.0,5.0,210.0,3.0,0,0,0,0,0
75000.0,2.0,27.0,2.0,42.0,2.0,0.0,3.0,40.91,0,0,0,0
308000.0,0.0,13.0,1.0,94.0,4.0,404.0,13.0,0,0,0,0,0
190000.0,2.0,27.0,2.0,35.0,1.0,0.0,0.0,66.23,0,0,0,0
226000.0,1.0,3.0,2.0,100.0,4.0,0.0,3.0,97.16,0,0,0,0
248000.0,2.0,3.0,2.0,82.0,4.0,0.0,3.0,83.2,0,0,0,0
310800.0,2.0,8.0,2.0,117.0,5.0,0.0,0.0,0,0,0,0,0
131000.0,2.0,27.0,2.0,80.0,4.0,0.0,2.0,0,82.03,0,0,0
115000.0,1.0,27.0,2.0,59.0,2.0,0.0,0.0,60.38,0,0,0,0
260030.0,1.0,4.0,2.0,79.0,4.0,0.0,3.0,80.14,0,0,0,0
178000.0,1.0,27.0,2.0,78.0,4.0,0.0,3.0,77.09,0,0,0,0
50000.0,2.0,29.0,2.0,57.0,3.0,0.0,2.0,0,0,0,0,0
50000.0,1.0,4.0,2.0,48.0,3.0,0.0,13.0,0,0,0,0,0
179000.0,2.0,28.0,2.0,80.0,3.0,0.0,0.0,0,0,0,0,0
50000.0,1.0,4.0,2.0,20.0,2.0,0.0,3.0,15.5,0,0,0,0
110000.0,2.0,4.0,2.0,58.0,3.0,0.0,2.0,58.6,0,0,0,0
110000.0,1.0,3.0,2.0,70.0,3.0,0.0,3.0,0,0,0,0,0
102500.0,2.0,27.0,2.0,60.0,2.0,0.0,0.0,0,0,0,0,0
60000.0,1.0,27.0,2.0,40.0,1.0,0.0,2.0,36.84,0,0,0,0
39000.0,1.0,27.0,2.0,27.0,1.0,0.0,2.0,0,0,0,0,0
600000.0,0.0,27.0,2.0,40.0,2.0,33.0,0.0,0,0,0,0,0
335000.0,2.0,4.0,2.0,66.0,3.0,0.0,1.0,0,111.19,0,0,0
335000.0,2.0,4.0,2.0,46.0,2.0,0.0,1.0,0,111.19,0,0,0
285000.0,0.0,4.0,1.0,149.0,5.0,674.0,14.0,0,0,0,0,0
219000.0,2.0,4.0,2.0,79.0,3.0,0.0,0.0,79.54,0,0,0,0
130000.0,2.0,27.0,2.0,88.0,4.0,0.0,1.0,88.71,0,0,0,0
630000.0,2.0,27.0,2.0,66.0,2.0,0.0,3.0,0,0,0,0,0
245000.0,2.0,27.0,2.0,120.0,4.0,0.0,0.0,0,124.31,0,0,0
72000.0,2.0,27.0,2.0,80.0,3.0,0.0,2.0,0,81.74,0,0,0
68000.0,1.0,27.0,2.0,60.0,2.0,0.0,2.0,50.28,0,0,0,0
104000.0,2.0,4.0,2.0,60.0,3.0,0.0,3.0,58.97,0,0,0,0
96000.0,1.0,27.0,2.0,48.0,2.0,0.0,0.0,48.81,0,0,0,0
108000.0,2.0,4.0,2.0,47.0,2.0,0.0,3.0,0,48.01,0,0,0
94000.0,2.0,4.0,2.0,39.0,2.0,0.0,13.0,0,0,0,0,0
38000.0,1.0,27.0,2.0,36.0,2.0,0.0,2.0,33.34,0,0,0,0
165000.0,0.0,30.0,1.0,48.0,4.0,102.0,14.0,0,0,0,0,0
50500.0,1.0,5.0,2.0,33.0,2.0,0.0,14.0,32.39,0,0,0,0
60000.0,1.0,32.0,2.0,50.0,3.0,0.0,2.0,50.41,0,0,0,0
267000.0,0.0,3.0,2.0,36.0,2.0,397.0,14.0,0,0,0,0,0
267000.0,0.0,3.0,2.0,36.0,3.0,397.0,14.0,0,0,0,0,0
335000.0,0.0,27.0,1.0,64.0,4.0,771.0,14.0,0,0,0,0,0
265000.0,0.0,15.0,1.0,100.0,3.0,474.0,14.0,0,0,0,0,0
165240.0,4.0,27.0,2.0,58.0,2.0,0.0,1.0,0,0,0,72.3,0
125000.0,2.0,27.0,2.0,70.0,3.0,0.0,0.0,66.0,0,0,0,0
368000.0,0.0,4.0,1.0,80.0,5.0,460.0,15.0,0,0,0,0,0
131000.0,2.0,27.0,2.0,73.0,4.0,0.0,3.0,0,0,0,0,0
129000.0,2.0,27.0,2.0,68.0,3.0,0.0,3.0,60.48,0,0,0,0
210000.0,1.0,5.0,1.0,76.0,4.0,0.0,14.0,0,0,0,0,0
120000.0,2.0,3.0,2.0,58.0,3.0,0.0,3.0,57.93,0,0,0,0
120000.0,0.0,4.0,1.0,72.0,3.0,72.0,14.0,0,0,0,0,0
156000.0,1.0,27.0,2.0,65.0,3.0,0.0,1.0,65.62,0,0,0,0
79000.0,1.0,27.0,2.0,35.0,1.0,0.0,0.0,34.85,0,0,0,0
