Valeur fonciere,Nombre de lots,Type de voie,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Code commune,Surface Carrez du 1er lot,Surface Carrez du 2eme lot,Surface Carrez du 3eme lot,Surface Carrez du 4eme lot,Surface Carrez du 5eme lot
238100.0,2.0,16.0,2.0,75.0,3.0,0.0,0.0,0,67.8,0,0,0
76000.0,1.0,16.0,2.0,40.0,2.0,0.0,0.0,35.14,0,0,0,0
224000.0,2.0,16.0,2.0,68.0,3.0,0.0,0.0,66.37,0,0,0,0
55000.0,3.0,16.0,2.0,35.0,1.0,0.0,0.0,0,0,37.22,0,0
103100.0,1.0,16.0,2.0,2.0,0.0,0.0,0.0,0,0,0,0,0
103100.0,3.0,16.0,2.0,25.0,1.0,0.0,0.0,0,25.17,0,0,0
235500.0,0.0,16.0,1.0,60.0,3.0,81.0,0.0,0,0,0,0,0
177447.0,1.0,16.0,2.0,73.0,4.0,0.0,0.0,73.35,0,0,0,0
115000.0,1.0,15.0,2.0,47.0,2.0,0.0,0.0,43.64,0,0,0,0
83500.0,2.0,16.0,2.0,18.0,1.0,0.0,0.0,18.6,0,0,0,0
160000.0,4.0,3.0,2.0,52.0,3.0,0.0,0.0,0,0,0,0,0
230000.0,2.0,16.0,2.0,65.0,3.0,0.0,0.0,0,0,0,0,0
100000.0,2.0,16.0,2.0,46.0,2.0,0.0,0.0,41.43,0,0,0,0
629400.0,0.0,3.0,1.0,211.0,7.0,437.0,0.0,0,0,0,0,0
190000.0,0.0,15.0,1.0,52.0,2.0,342.0,0.0,0,0,0,0,0
398000.0,0.0,16.0,1.0,92.0,3.0,168.0,0.0,0,0,0,0,0
306000.0,2.0,11.0,2.0,67.0,3.0,0.0,0.0,60.23,0,0,0,0
118000.0,2.0,2.0,2.0,66.0,3.0,0.0,0.0,63.29,0,0,0,0
415000.0,0.0,16.0,1.0,127.0,6.0,482.0,0.0,0,0,0,0,0
140000.0,2.0,16.0,2.0,64.0,3.0,0.0,0.0,0,59.6,0,0,0
246000.0,1.0,3.0,2.0,65.0,2.0,0.0,0.0,0,0,0,0,0
150000.0,1.0,16.0,2.0,48.0,2.0,0.0,0.0,48.68,0,0,0,0
179000.0,0.0,16.0,1.0,68.0,4.0,155.0,0.0,0,0,0,0,0
420000.0,3.0,3.0,2.0,92.0,4.0,0.0,0.0,0,0,91.66,0,0
162000.0,3.0,16.0,2.0,30.0,1.0,0.0,0.0,32.0,0,0,0,0
305000.0,2.0,16.0,2.0,89.0,4.0,0.0,0.0,0,90.05,0,0,0
218000.0,1.0,1.0,2.0,75.0,2.0,0.0,0.0,65.3,0,0,0,0
79000.0,1.0,3.0,2.0,30.0,2.0,0.0,0.0,30.11,0,0,0,0
178787.0,2.0,16.0,2.0,80.0,4.0,0.0,0.0,80.31,0,0,0,0
119000.0,2.0,16.0,2.0,60.0,3.0,0.0,0.0,0,60.31,0,0,0
552500.0,0.0,8.0,1.0,178.0,8.0,559.0,0.0,0,0,0,0,0
203000.0,1.0,8.0,2.0,68.0,3.0,0.0,0.0,63.2,0,0,0,0
236000.0,1.0,16.0,2.0,102.0,3.0,0.0,0.0,98.91,0,0,0,0
115000.0,2.0,16.0,2.0,69.0,3.0,0.0,0.0,0,63.62,0,0,0
163000.0,2.0,8.0,2.0,67.0,3.0,0.0,0.0,66.13,0,0,0,0
163857.0,1.0,16.0,2.0,56.0,3.0,0.0,0.0,55.28,0,0,0,0
276000.0,0.0,16.0,1.0,101.0,4.0,200.0,0.0,0,0,0,0,0
203000.0,1.0,16.0,2.0,66.0,3.0,0.0,0.0,65.9,0,0,0,0
178000.0,1.0,16.0,2.0,30.0,1.0,0.0,0.0,29.4,0,0,0,0
133000.0,1.0,16.0,2.0,45.0,2.0,0.0,0.0,44.26,0,0,0,0
184000.0,1.0,15.0,2.0,62.0,3.0,0.0,0.0,62.09,0,0,0,0
79000.0,1.0,16.0,2.0,18.0,1.0,0.0,0.0,18.32,0,0,0,0
330000.0,0.0,16.0,1.0,112.0,5.0,248.0,0.0,0,0,0,0,0
100000.0,1.0,3.0,2.0,28.0,1.0,0.0,0.0,29.04,0,0,0,0
135000.0,2.0,16.0,2.0,52.0,3.0,0.0,0.0,51.07,0,0,0,0
135000.0,2.0,3.0,2.0,41.0,3.0,0.0,0.0,39.12,0,0,0,0
165225.0,2.0,3.0,2.0,80.0,5.0,0.0,0.0,77.74,0,0,0,0
145000.0,2.0,16.0,2.0,31.0,1.0,0.0,0.0,0,31.5,0,0,0
284000.0,2.0,3.0,2.0,72.0,3.0,0.0,0.0,73.88,0,0,0,0
83500.0,1.0,16.0,2.0,20.0,1.0,0.0,0.0,18.3,0,0,0,0
151000.0,2.0,16.0,2.0,67.0,4.0,0.0,0.0,67.77,0,0,0,0
160000.0,2.0,16.0,2.0,60.0,3.0,0.0,0.0,63.66,0,0,0,0
165000.0,1.0,2.0,2.0,65.0,3.0,0.0,0.0,65.31,0,0,0,0
192000.0,2.0,16.0,2.0,60.0,3.0,0.0,0.0,0,60.08,0,0,0
110000.0,1.0,16.0,2.0,29.0,1.0,0.0,0.0,28.6,0,0,0,0
130000.0,2.0,16.0,2.0,37.0,2.0,0.0,0.0,0,37.73,0,0,0
124824.0,1.0,16.0,2.0,46.0,2.0,0.0,0.0,46.41,0,0,0,0
140000.0,1.0,16.0,2.0,46.0,2.0,0.0,0.0,0,0,0,0,0
