Valeur fonciere,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
255300.0,2.0,2.0,49.0,1.0,0.0,3.0,0,9.0,0,0.0,0,0.0,0,0.0,0.0
380000.0,0.0,1.0,52.0,2.0,160.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
128000.0,2.0,2.0,78.0,5.0,0.0,164.0,78.32,78.0,0,0.0,0,0.0,0,0.0,0.0
155447.0,1.0,2.0,78.0,4.0,0.0,146.0,84.07,0.0,0,0.0,0,0.0,0,0.0,0.0
72000.0,2.0,2.0,39.0,2.0,0.0,306.0,0,336.0,35.26,0.0,0,0.0,0,0.0,0.0
108500.0,1.0,2.0,45.0,2.0,0.0,31.0,46.41,0.0,0,0.0,0,0.0,0,0.0,0.0
250000.0,2.0,2.0,50.0,2.0,0.0,125.0,51.05,9.0,0,0.0,0,0.0,0,0.0,0.0
100728.0,1.0,2.0,63.0,3.0,0.0,203.0,61.9,0.0,0,0.0,0,0.0,0,0.0,0.0
74000.0,1.0,2.0,18.0,1.0,0.0,126.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
116800.0,1.0,2.0,56.0,3.0,0.0,4.0,56.56,0.0,0,0.0,0,0.0,0,0.0,0.0
181200.0,1.0,2.0,70.0,3.0,0.0,12.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
126880.0,1.0,2.0,60.0,3.0,0.0,121.0,60.51,0.0,0,0.0,0,0.0,0,0.0,0.0
112872.0,1.0,2.0,47.0,2.0,0.0,1.0,47.03,0.0,0,0.0,0,0.0,0,0.0,0.0
190860.0,2.0,2.0,51.0,3.0,0.0,249.0,0,61.0,49.41,0.0,0,0.0,0,0.0,0.0
156000.0,2.0,2.0,67.0,4.0,0.0,112.0,0,128.0,0,0.0,0,0.0,0,0.0,0.0
142000.0,1.0,2.0,69.0,3.0,0.0,1280.0,69.19,0.0,0,0.0,0,0.0,0,0.0,0.0
94000.0,1.0,2.0,57.0,3.0,0.0,1102.0,55.97,0.0,0,0.0,0,0.0,0,0.0,0.0
329500.0,1.0,2.0,99.0,4.0,0.0,47.0,102.14,0.0,0,0.0,0,0.0,0,0.0,0.0
118000.0,2.0,2.0,54.0,2.0,0.0,21.0,0,26.0,50.0,0.0,0,0.0,0,0.0,0.0
127000.0,1.0,2.0,70.0,3.0,0.0,18.0,69.88,0.0,0,0.0,0,0.0,0,0.0,0.0
