val_mse,mse,val_mae,mae
11.396795,11.370689,11.378557,11.352799
10.830856,10.804715,10.811658,10.785901
10.293134,10.266982,10.272923,10.247173
9.783373,9.757205,9.762115,9.736359
9.297557,9.271376,9.275186,9.249416
8.835065,8.808863,8.811512,8.785764
8.396993,8.370763,8.372215,8.346455
7.983407,7.95717,7.957345,7.931587
7.586198,7.55994,7.558761,7.533007
7.210305,7.184026,7.181434,7.155678
6.853901,6.827603,6.823523,6.797766
6.515594,6.489269,6.483631,6.457879
6.197336,6.168688,6.164509,6.136406
5.890433,5.861771,5.855893,5.827783
5.602579,5.573897,5.566247,5.538138
5.327707,5.299006,5.289491,5.261382
5.066454,5.037734,5.026251,4.998145
4.821212,4.790553,4.779738,4.749743
4.588274,4.557593,4.544672,4.514675
4.362715,4.332035,4.31725,4.287249
4.15445,4.121584,4.107703,4.075338
3.953461,3.920587,3.904307,3.871948
3.763217,3.728833,3.712564,3.678672
3.582506,3.548125,3.529265,3.495367
3.411946,3.375564,3.357087,3.321075
3.247626,3.211174,3.19033,3.154294
3.095335,3.058901,3.035165,2.99931
2.954038,2.914415,2.891516,2.852548
2.818084,2.778362,2.752942,2.714188
2.686586,2.646177,2.618334,2.579638
2.562945,2.522587,2.491309,2.453468
2.444356,2.403959,2.369622,2.332503
2.334795,2.292296,2.258143,2.219149
2.226799,2.184409,2.146296,2.108245
2.1285,2.085131,2.044277,2.006223
2.03387,1.989295,1.946654,1.907961
1.943333,1.897703,1.852884,1.814064
1.85628,1.810842,1.761541,1.724018
1.774523,1.726872,1.676386,1.637285
1.699247,1.649241,1.599715,1.558535
1.627793,1.577341,1.525429,1.48437
1.558982,1.506284,1.45523,1.412122
1.496256,1.442184,1.389591,1.345791
1.436623,1.380154,1.327356,1.281208
1.377205,1.320311,1.265883,1.218814
1.322781,1.26509,1.209717,1.161606
1.27317,1.215048,1.1571,1.108572
1.225114,1.165907,1.10843,1.05821
1.1817,1.119705,1.063194,1.009904
1.139232,1.077821,1.017883,0.964645
1.098734,1.036798,0.97542,0.921765
1.060361,0.996702,0.936463,0.880665
1.025018,0.961658,0.898498,0.843367
0.990603,0.927581,0.861075,0.806352
0.95822,0.895819,0.825886,0.772061
0.929696,0.86692,0.795477,0.741766
0.90071,0.838021,0.765733,0.711785
0.874718,0.81174,0.738218,0.684914
0.850504,0.787698,0.712645,0.659282
0.825467,0.762791,0.687293,0.633944
0.805618,0.743846,0.66621,0.613928
