val_mse,mse,val_mae,mae
11.1338,10.900515,11.11508,10.874324
10.583601,10.358078,10.564437,10.330612
10.062475,9.842916,10.042445,9.814366
9.571369,9.352256,9.550297,9.322208
9.097667,8.88816,9.076499,8.857316
8.64827,8.446631,8.62681,8.414682
8.221175,8.026559,8.199383,7.993937
7.815843,7.628626,7.793512,7.59509
7.451197,7.24943,7.427768,7.214635
7.087578,6.89015,7.06319,6.853782
6.744294,6.549528,6.718734,6.511585
6.419969,6.225897,6.393114,6.185969
6.105555,5.918043,6.077888,5.876247
5.814531,5.62781,5.78548,5.583841
5.530672,5.350219,5.500934,5.304873
5.259801,5.08676,5.229526,5.039727
5.02052,4.836583,4.988794,4.78767
4.780309,4.599422,4.747253,4.548629
4.548619,4.374801,4.514941,4.322182
4.327401,4.160899,4.293019,4.106238
4.121394,3.958172,4.085569,3.90143
3.924024,3.765815,3.886618,3.706645
3.739146,3.583618,3.700119,3.522085
3.559354,3.410482,3.519442,3.346659
3.387778,3.245859,3.346868,3.179458
3.226788,3.090379,3.184403,3.020911
3.073429,2.942464,3.029239,2.870118
2.92693,2.802537,2.881471,2.727221
2.783492,2.667018,2.737347,2.590081
2.65079,2.539909,2.603185,2.460057
2.524228,2.419334,2.475403,2.336263
2.409318,2.306253,2.358404,2.219256
2.296447,2.199077,2.243616,2.108709
2.199283,2.096003,2.144991,2.003296
2.100148,2.000675,2.043844,1.904021
2.019226,1.909106,1.961362,1.810057
1.927161,1.823045,1.868069,1.721032
1.843856,1.739654,1.783113,1.636566
1.764749,1.662841,1.701626,1.55598
1.686331,1.590436,1.621747,1.480551
1.615997,1.522592,1.549159,1.409104
1.548209,1.456073,1.479817,1.341496
1.484078,1.392856,1.414134,1.277145
1.419183,1.335036,1.347907,1.217057
1.362637,1.281239,1.288737,1.160205
1.310582,1.231132,1.234199,1.10744
1.256057,1.182673,1.177665,1.056708
1.209498,1.139083,1.128607,1.010604
1.164048,1.096972,1.081071,0.967162
1.116738,1.055734,1.03245,0.92535
1.07534,1.019225,0.988932,0.886908
1.032389,0.982497,0.944309,0.849618
1.002438,0.946777,0.913479,0.813994
0.966582,0.916355,0.87557,0.78217
0.936336,0.884926,0.845204,0.751003
0.912125,0.856634,0.819699,0.722191
0.88154,0.831405,0.787572,0.696441
0.853993,0.807906,0.758352,0.672649
0.827095,0.784539,0.729687,0.649007
0.802792,0.764323,0.703723,0.628114
0.776493,0.742931,0.676968,0.60723
0.752272,0.72471,0.651743,0.589245
0.729876,0.707625,0.629022,0.572519
0.711711,0.692172,0.60985,0.557125
0.691995,0.676534,0.589737,0.542177
0.671786,0.661012,0.569672,0.527764
0.656889,0.64914,0.554156,0.516209
0.643295,0.638609,0.539987,0.506019
0.633265,0.626591,0.529429,0.494491
0.616648,0.615337,0.51256,0.483987
0.605585,0.60728,0.501042,0.476203
0.593374,0.599303,0.488712,0.468801
0.583369,0.592074,0.478395,0.461895
0.576588,0.5835,0.471482,0.453668
0.565629,0.576012,0.460385,0.446624
0.554974,0.568594,0.449642,0.439616
0.547302,0.56264,0.44173,0.43393
0.540773,0.5582,0.434992,0.4297
0.535232,0.550768,0.42935,0.422579
0.527396,0.546424,0.421481,0.418662
0.520847,0.54184,0.4147,0.414169
0.513834,0.536092,0.407789,0.408933
0.507263,0.53208,0.400908,0.405262
0.502376,0.528791,0.395906,0.402174
0.49761,0.525662,0.391038,0.399273
0.493517,0.523374,0.386977,0.397124
0.489653,0.521012,0.383034,0.394854
0.485827,0.517052,0.379082,0.391144
0.481654,0.514886,0.374832,0.389297
0.4787,0.513269,0.371848,0.38763
0.4752,0.51147,0.368088,0.386074
0.471791,0.509618,0.364547,0.384252
0.469437,0.508278,0.362229,0.382997
0.466637,0.506827,0.359313,0.381804
0.463441,0.504953,0.356536,0.380306
0.460298,0.502798,0.352991,0.378196
0.458516,0.50164,0.35111,0.377058
0.45612,0.500009,0.349175,0.375778
0.453992,0.498482,0.346946,0.374346
0.451957,0.497419,0.344792,0.373409
0.450786,0.496733,0.343526,0.372634
0.449179,0.49576,0.341745,0.371833
0.448362,0.494995,0.340962,0.371104
0.446349,0.493823,0.339125,0.370029
0.445118,0.493388,0.337886,0.369622
0.44612,0.491275,0.338699,0.367652
0.444993,0.490512,0.337488,0.366856
0.444563,0.49032,0.33714,0.366684
0.44355,0.489785,0.336082,0.366253
0.441809,0.48739,0.333859,0.364044
0.441182,0.487066,0.333233,0.363755
0.439687,0.486061,0.331824,0.362768
0.438606,0.485634,0.330607,0.362415
0.438289,0.485422,0.330259,0.36218
0.437439,0.484684,0.329212,0.361444
0.436233,0.483857,0.327803,0.360879
0.434566,0.482077,0.326408,0.359072
0.434143,0.481535,0.325942,0.358619
0.433973,0.48136,0.325755,0.358453
0.434041,0.479562,0.325585,0.35682
0.433733,0.479498,0.325282,0.356762
0.4335,0.479353,0.325021,0.35658
0.433665,0.477205,0.325116,0.35473
0.433102,0.476822,0.324674,0.354469
0.432791,0.476517,0.324209,0.354236
0.43289,0.476157,0.323962,0.353924
0.432737,0.47587,0.323742,0.353658
0.432508,0.475753,0.323519,0.353533
0.432222,0.47563,0.323271,0.353444
0.431004,0.47427,0.322262,0.352072
0.430491,0.47362,0.321568,0.351414
0.429766,0.473252,0.320994,0.351035
0.429504,0.471799,0.320694,0.349704
0.429285,0.47149,0.320472,0.349471
0.428878,0.470967,0.319871,0.349082
0.428767,0.470807,0.319627,0.348963
0.428575,0.470724,0.319416,0.348835
0.427251,0.469912,0.318415,0.348199
0.426733,0.468797,0.317493,0.347175
0.426707,0.468584,0.317427,0.34696
0.426514,0.468082,0.317062,0.346445
0.426331,0.46798,0.316835,0.346383
0.425733,0.466655,0.31628,0.345276
0.425645,0.465554,0.316138,0.344219
0.424687,0.464985,0.315374,0.343697
0.423608,0.464045,0.314354,0.342749
0.423538,0.463869,0.314249,0.342637
0.423448,0.463673,0.314105,0.342461
0.424107,0.462707,0.314584,0.341593
0.424187,0.462688,0.314758,0.341581
0.424102,0.462671,0.314685,0.341577
0.423682,0.462504,0.314156,0.341418
0.423493,0.462147,0.313955,0.341153
0.422371,0.461504,0.313151,0.340625
0.422303,0.461499,0.313082,0.34062
0.422886,0.460847,0.313443,0.340031
0.42235,0.460722,0.31296,0.339933
0.421771,0.459853,0.312366,0.338945
0.421925,0.459771,0.31252,0.338842
0.421744,0.459197,0.312171,0.338166
0.419977,0.458514,0.310398,0.337563
0.419804,0.458273,0.310133,0.337415
0.420848,0.457671,0.311173,0.336898
0.421133,0.456561,0.311286,0.335838
0.421182,0.456473,0.311366,0.335753
0.42109,0.456148,0.311263,0.335377
0.42089,0.456078,0.311088,0.335324
0.420785,0.45575,0.310947,0.334971
0.420652,0.455418,0.310875,0.33476
0.420542,0.454989,0.310699,0.334405
0.420417,0.454916,0.310558,0.334393
0.420369,0.454606,0.310336,0.334103
0.420211,0.454532,0.310144,0.334036
0.419974,0.454147,0.309852,0.333627
0.41982,0.453926,0.309726,0.333473
0.419211,0.453544,0.309189,0.333115
0.419236,0.452971,0.308972,0.332656
0.418492,0.452122,0.308276,0.331894
0.418459,0.451797,0.30813,0.331716
0.418486,0.451536,0.308271,0.331519
0.418625,0.451454,0.308385,0.331462
0.418415,0.451205,0.308151,0.331297
0.418419,0.451176,0.308175,0.331272
0.418407,0.451151,0.308171,0.331242
0.418599,0.451103,0.308328,0.331186
0.418632,0.450845,0.30825,0.330886
0.418612,0.450801,0.308253,0.330847
0.418798,0.450743,0.308434,0.330789
0.418242,0.450493,0.308039,0.33059
0.418194,0.45046,0.307959,0.33056
0.418355,0.450148,0.30802,0.330225
0.418355,0.449997,0.307979,0.330094
0.419357,0.449247,0.308705,0.329488
0.419439,0.449201,0.308802,0.329446
0.419361,0.449141,0.308705,0.329392
0.419473,0.448981,0.30882,0.329274
0.419008,0.448802,0.308516,0.329165
0.419065,0.448532,0.308568,0.328905
0.41888,0.44844,0.308357,0.328822
0.418831,0.448382,0.308293,0.328778
0.418779,0.44804,0.308183,0.328463
0.418898,0.447986,0.308261,0.328404
0.418067,0.44763,0.30754,0.328035
0.418057,0.447612,0.307527,0.328015
0.41803,0.447598,0.307497,0.327998
0.418044,0.447535,0.307481,0.327928
0.418034,0.447342,0.307562,0.327817
0.417709,0.447166,0.307236,0.327671
0.417912,0.446632,0.307362,0.327232
0.418065,0.446605,0.307489,0.327197
0.418082,0.446584,0.307494,0.327186
0.418136,0.44639,0.307561,0.327047
0.417743,0.446171,0.30729,0.326873
0.41779,0.446059,0.307323,0.326786
0.417457,0.445777,0.307152,0.326476
0.417242,0.445464,0.30691,0.326213
0.417168,0.445459,0.306839,0.326209
0.417327,0.445409,0.30697,0.326167
0.417385,0.445322,0.30705,0.326088
0.417388,0.445262,0.307014,0.326055
0.41744,0.445138,0.307091,0.325945
0.417164,0.444965,0.306849,0.32587
0.416336,0.444356,0.306001,0.325318
0.415569,0.443956,0.305304,0.324957
0.415494,0.443734,0.305186,0.324724
0.415304,0.443655,0.305102,0.324678
0.414986,0.443479,0.304845,0.324488
0.41497,0.443014,0.304761,0.324069
0.414962,0.442861,0.304733,0.323912
0.414976,0.442832,0.304752,0.32389
0.41466,0.442623,0.304715,0.323686
0.414694,0.442528,0.304803,0.323598
0.414667,0.442389,0.304783,0.323463
0.41468,0.441927,0.304845,0.323161
0.414232,0.441554,0.304536,0.322812
0.413899,0.441298,0.304249,0.322565
0.414091,0.440746,0.304592,0.322103
0.413427,0.440187,0.303958,0.321613
0.41352,0.440174,0.304064,0.321599
0.413499,0.44013,0.304069,0.321546
0.413307,0.440104,0.303907,0.321534
0.413135,0.439503,0.303573,0.320947
0.412928,0.439394,0.303423,0.320849
0.413025,0.439273,0.30354,0.320749
0.413056,0.4392,0.303497,0.32067
0.4128,0.438908,0.303206,0.320343
0.412853,0.438905,0.303259,0.320329
0.412842,0.438902,0.303254,0.320328
0.413004,0.438876,0.303411,0.320298
0.413062,0.438863,0.303462,0.320266
0.413056,0.438822,0.303501,0.320234
0.413149,0.438797,0.30361,0.320199
0.413016,0.43873,0.303425,0.320153
0.412755,0.4385,0.303399,0.319995
0.412865,0.438423,0.303484,0.319932
0.41279,0.438404,0.303367,0.319918
0.41274,0.438398,0.303323,0.319915
0.413206,0.437985,0.303643,0.319645
0.4132,0.437986,0.303643,0.319644
0.413284,0.437978,0.303719,0.319616
0.413191,0.437933,0.303706,0.319586
0.413046,0.43792,0.303559,0.319586
0.413031,0.437891,0.303489,0.319561
0.413002,0.437849,0.303477,0.319533
0.412833,0.43776,0.303268,0.319497
0.41335,0.437056,0.303745,0.318883
0.413324,0.436877,0.303726,0.318677
0.413797,0.436734,0.304193,0.318557
0.413856,0.436668,0.3043,0.31854
0.414139,0.436604,0.304459,0.318492
0.414223,0.436458,0.304424,0.318397
0.414257,0.436426,0.304452,0.318347
0.414321,0.436245,0.304536,0.318233
0.414265,0.435855,0.304459,0.317925
0.414244,0.4357,0.304436,0.31781
0.414123,0.435529,0.304223,0.317642
0.414205,0.435506,0.304267,0.317642
0.414196,0.435382,0.304236,0.317519
0.414351,0.435346,0.304406,0.317494
0.414504,0.435299,0.304567,0.317428
0.414373,0.435272,0.304411,0.317405
0.414162,0.434936,0.304082,0.317068
0.41433,0.434866,0.304107,0.316987
0.414809,0.434647,0.304474,0.3168
0.414784,0.434625,0.304402,0.316787
0.414732,0.434527,0.304442,0.316702
0.414574,0.434393,0.304304,0.316552
0.414422,0.434377,0.30417,0.316549
0.414397,0.434355,0.304183,0.316539
0.414322,0.434252,0.304097,0.316484
0.414372,0.434234,0.304129,0.316446
0.414299,0.434223,0.304045,0.31645
0.41446,0.434201,0.304263,0.316417
0.41433,0.433808,0.304291,0.316146
0.414261,0.433781,0.304224,0.316121
0.414123,0.433577,0.304151,0.31595
0.414326,0.433247,0.304396,0.315675
0.414165,0.433105,0.304311,0.315546
0.41339,0.432741,0.303723,0.315229
0.413015,0.432597,0.303401,0.315112
0.413041,0.432595,0.303428,0.315111
0.413002,0.432574,0.303383,0.315082
0.41311,0.432545,0.303496,0.315033
0.413205,0.432466,0.3035,0.314984
0.41243,0.432092,0.30299,0.314659
0.412523,0.432087,0.303098,0.314649
0.41247,0.431939,0.303081,0.314467
0.412474,0.431939,0.303085,0.314468
0.412147,0.431861,0.302771,0.314386
0.412553,0.431652,0.30319,0.314255
0.412642,0.431645,0.303288,0.314247
0.412382,0.431481,0.303161,0.31411
0.41229,0.431396,0.303179,0.314031
0.411859,0.430899,0.302756,0.313503
0.412245,0.430733,0.303058,0.313336
0.412192,0.430672,0.302942,0.313258
0.41185,0.430547,0.302622,0.313129
0.411867,0.430512,0.302626,0.31309
0.41059,0.430474,0.30129,0.313057
0.410816,0.430447,0.301566,0.313006
0.410659,0.43036,0.301403,0.312896
0.410408,0.429973,0.301092,0.312463
0.41007,0.429782,0.300828,0.312384
0.409957,0.429686,0.300624,0.312291
0.410016,0.429578,0.300688,0.312205
0.410056,0.429567,0.300755,0.312196
0.410097,0.429557,0.30082,0.312188
0.410228,0.429553,0.300962,0.312173
0.409926,0.429545,0.300667,0.312166
0.409991,0.429477,0.300754,0.31214
0.409911,0.429406,0.300624,0.312149
0.409988,0.429388,0.300659,0.312134
0.409988,0.429298,0.300682,0.31205
0.409832,0.429195,0.300528,0.31196
0.409155,0.429014,0.299961,0.31177
0.409121,0.428758,0.299943,0.311472
0.409302,0.428691,0.30016,0.31146
0.409542,0.428619,0.300466,0.311337
0.409646,0.428394,0.300784,0.311149
0.409507,0.428359,0.300657,0.311147
0.409517,0.428334,0.30071,0.311126
0.4095,0.428267,0.300796,0.31104
0.40957,0.428255,0.300822,0.311016
0.40966,0.428016,0.300984,0.310819
0.40969,0.427902,0.300942,0.310664
0.409867,0.427727,0.301123,0.3105
0.410452,0.427626,0.301627,0.310409
0.410069,0.427458,0.301319,0.310239
0.411413,0.427395,0.30271,0.310159
0.411287,0.427324,0.302559,0.310131
0.411283,0.426922,0.302593,0.30974
0.41134,0.426914,0.302678,0.309734
0.41129,0.426757,0.30263,0.309591
0.411272,0.426749,0.302591,0.309582
0.411234,0.42661,0.302526,0.309472
0.411091,0.426535,0.302435,0.309411
0.41104,0.42649,0.302328,0.309405
0.410906,0.426245,0.302238,0.309166
0.410649,0.425954,0.301928,0.308851
0.410499,0.425946,0.301771,0.308849
0.41061,0.425913,0.301883,0.308851
0.410606,0.425905,0.301841,0.308852
0.410658,0.425879,0.301925,0.308824
0.410616,0.425857,0.301872,0.308785
0.410648,0.425837,0.301893,0.308748
0.410637,0.42583,0.301876,0.308734
0.410085,0.425539,0.301412,0.308472
0.410035,0.425526,0.301349,0.308468
0.410042,0.425511,0.301304,0.308445
0.410073,0.42547,0.301396,0.308429
0.410237,0.425379,0.301552,0.308323
0.410138,0.425357,0.301518,0.308325
0.410326,0.425299,0.301704,0.308284
0.41046,0.425248,0.301823,0.308268
0.410579,0.425168,0.302096,0.308203
0.410615,0.425139,0.302107,0.308186
0.410438,0.424871,0.301926,0.307955
0.410511,0.424786,0.302046,0.30787
0.410439,0.424782,0.301978,0.307871
0.410479,0.424764,0.302072,0.307857
0.410642,0.424756,0.30222,0.307851
0.41059,0.424701,0.302096,0.307756
0.410725,0.424638,0.302259,0.307697
0.410757,0.424572,0.302373,0.307635
0.410681,0.424481,0.302321,0.307508
0.410637,0.424329,0.30216,0.307386
0.41069,0.424325,0.30223,0.307382
0.410705,0.424282,0.302212,0.307342
0.410502,0.423988,0.301983,0.307059
0.410405,0.423843,0.301835,0.306987
0.410292,0.4238,0.30173,0.306915
0.410361,0.42374,0.301908,0.306903
0.410094,0.423683,0.301738,0.306899
0.409854,0.423574,0.301515,0.306845
0.409756,0.423549,0.30147,0.306822
0.409408,0.423508,0.301091,0.306789
0.409267,0.423498,0.300941,0.306777
0.409078,0.42335,0.300823,0.306691
0.408977,0.423314,0.300732,0.306683
0.408929,0.423289,0.300665,0.306687
0.408506,0.423129,0.300106,0.306489
0.40827,0.423103,0.299911,0.306509
0.408055,0.42307,0.299685,0.306503
0.408105,0.423025,0.299668,0.306472
0.408324,0.423023,0.299873,0.306467
0.407992,0.422859,0.299627,0.306221
0.407872,0.422861,0.299494,0.30623
0.407974,0.422858,0.299598,0.306217
0.408049,0.422838,0.299613,0.306197
0.407794,0.42267,0.29939,0.306074
0.407331,0.422515,0.299028,0.305892
0.407467,0.422481,0.299241,0.305897
0.40758,0.422458,0.299393,0.305849
0.407488,0.422422,0.29931,0.305827
0.407692,0.422372,0.299478,0.305753
0.407726,0.422366,0.299522,0.305753
0.407979,0.422296,0.29976,0.305666
0.408131,0.422244,0.29997,0.305597
0.408297,0.422208,0.300131,0.305563
0.408477,0.422172,0.30033,0.305542
0.408643,0.42214,0.30051,0.305506
