val_mse,mse,val_mae,mae
11.175327,11.149676,11.156932,11.128585
10.619635,10.594635,10.600876,10.573029
10.09169,10.066883,10.071949,10.044089
9.590547,9.566348,9.570315,9.543042
9.112816,9.089169,9.092116,9.065178
8.660851,8.636868,8.63942,8.612056
8.23116,8.207829,8.209196,8.182258
7.824026,7.799415,7.801653,7.773335
7.436893,7.413169,7.413959,7.386465
7.069291,7.046145,7.045666,7.018637
6.718649,6.696044,6.694375,6.667633
6.385362,6.363325,6.360307,6.333991
6.068828,6.047121,6.043109,6.01695
5.769511,5.748052,5.742464,5.716286
5.486759,5.464303,5.459024,5.431739
5.21503,5.192722,5.1866,5.159389
4.957656,4.935884,4.928185,4.901341
4.714257,4.692205,4.683633,4.656319
4.485015,4.462903,4.453125,4.425537
4.265372,4.243174,4.232418,4.204609
4.05676,4.034577,4.022341,3.994314
3.859208,3.836873,3.823888,3.795544
3.670296,3.648755,3.63381,3.605983
3.492199,3.47092,3.454598,3.426914
3.322114,3.30134,3.283367,3.255937
3.162241,3.141826,3.121512,3.094139
3.008751,2.988067,2.966728,2.93902
2.862629,2.842624,2.819088,2.791736
2.724128,2.704538,2.678336,2.651193
2.593808,2.574945,2.54637,2.519731
2.469601,2.451604,2.420521,2.394685
2.351753,2.334527,2.30087,2.275726
2.24133,2.224384,2.188685,2.163746
2.136552,2.120144,2.081543,2.056876
2.036849,2.02101,1.979327,1.954955
1.942035,1.926412,1.883027,1.858664
1.851967,1.836774,1.790636,1.766145
1.763494,1.750527,1.700727,1.677355
1.683384,1.671188,1.618214,1.594839
1.608009,1.596363,1.54033,1.516702
1.536072,1.525181,1.465689,1.441831
1.467797,1.457692,1.394556,1.370508
1.404016,1.394747,1.328962,1.304874
1.342767,1.334351,1.264509,1.24046
1.284527,1.276663,1.203642,1.179678
1.230357,1.223208,1.146256,1.122363
1.178113,1.171464,1.091729,1.067952
1.128569,1.122261,1.039801,1.016161
1.081781,1.076373,0.990621,0.967657
1.039302,1.03484,0.944982,0.922359
0.998564,0.994969,0.900852,0.878459
0.960061,0.957337,0.859522,0.83751
0.922376,0.920636,0.820406,0.798918
0.888039,0.886846,0.784106,0.76242
0.856296,0.85602,0.750471,0.728492
0.826256,0.827076,0.718344,0.696001
0.797073,0.798582,0.688214,0.66585
0.768827,0.771678,0.659905,0.637944
0.743885,0.747344,0.633487,0.611684
0.719632,0.723755,0.607535,0.585976
0.698377,0.703659,0.584341,0.563241
0.67715,0.68409,0.561953,0.541624
0.657912,0.665451,0.541566,0.521458
0.640722,0.649415,0.522619,0.503563
0.623916,0.633423,0.504819,0.4865
0.608634,0.619084,0.488044,0.470531
0.594291,0.605637,0.472496,0.455816
0.579647,0.592423,0.457357,0.441885
0.56755,0.581432,0.444545,0.430032
0.55605,0.570455,0.432845,0.418989
0.545442,0.560633,0.421927,0.408776
0.535535,0.5512,0.411953,0.399361
0.527232,0.543595,0.402994,0.391262
0.519444,0.53673,0.394963,0.384142
0.511043,0.529353,0.386967,0.376699
0.503896,0.522699,0.379758,0.370007
0.494198,0.514874,0.37166,0.363114
0.488147,0.509446,0.36592,0.358138
0.483125,0.505177,0.361223,0.353994
0.47828,0.500834,0.356587,0.349831
0.473039,0.49579,0.351545,0.345093
0.467776,0.491047,0.34671,0.340679
0.463038,0.486673,0.342455,0.3367
0.455233,0.482014,0.337588,0.333428
0.449548,0.478058,0.333492,0.330255
0.445827,0.475291,0.330258,0.327868
0.443239,0.473216,0.327796,0.326109
0.44003,0.470852,0.32528,0.324198
0.435693,0.467548,0.322017,0.321572
0.432014,0.464292,0.319455,0.319335
