Valeur fonciere,Code departement,Nombre de lots,Code type local,Surface reelle bati,Nombre pieces principales,Code commune,Surface terrain,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot
540000.0,78,2.0,2.0,92.0,4.0,551.0,0.0,59.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000.0,77,1.0,1.0,59.0,4.0,16.0,435.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207000.0,44,3.0,2.0,87.0,5.0,109.0,0.0,106.0,88.17,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
286000.0,33,0.0,1.0,119.0,4.0,540.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000.0,69,0.0,2.0,39.0,2.0,236.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000.0,22,0.0,1.0,66.0,3.0,115.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64000.0,59,0.0,1.0,110.0,6.0,512.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60000.0,29.0,0.0,1.0,91.0,4.0,195.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549100.0,26.0,0.0,1.0,160.0,7.0,171.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85000.0,30,0.0,1.0,54.0,3.0,82.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39000.0,41,0.0,1.0,30.0,1.0,198.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147500.0,28.0,0.0,1.0,119.0,5.0,103.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400000.0,6,3.0,2.0,78.0,3.0,88.0,0.0,112.0,0.0,113.0,0.0,205.0,85.15,0.0,0.0,0.0,0.0
375000.0,49,3.0,2.0,43.0,3.0,7.0,0.0,10.0,48.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
573000.0,6,0.0,1.0,125.0,6.0,157.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125000.0,80,0.0,1.0,88.0,4.0,716.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130000.0,72,0.0,1.0,77.0,3.0,121.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188000.0,44,1.0,1.0,49.0,2.0,69.0,112.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
